,id,geometry
338,790678730,POINT (-76.49111069999999 38.9854507)
339,5184736566,POINT (-76.48571219999999 38.9803522)
340,5184736572,POINT (-76.4853961 38.9801457)
341,5184736577,POINT (-76.485479 38.9801998)
342,5184736578,POINT (-76.4861174 38.9806193)
343,5184736581,POINT (-76.4840583 38.9791796)
344,5184736602,POINT (-76.48579100000001 38.9804037)
345,5184736607,POINT (-76.4865075 38.9808788)
346,5184736608,POINT (-76.48545129999999 38.9816039)
347,5184736610,POINT (-76.4858495 38.9820635)
348,5184736611,POINT (-76.48643079999999 38.9808278)
349,7308529013,POINT (-76.493431 38.9783773)
350,102583826,POINT (-76.4986135 38.979711)
351,102583828,POINT (-76.4985813 38.9801136)
352,1304022800,POINT (-76.4917923 38.978586)
353,1304022812,POINT (-76.489222 38.9777325)
354,7308529654,POINT (-76.4957038 38.978223)
355,11062792334,POINT (-76.4973279 38.9779268)
356,11062792341,POINT (-76.49707189999999 38.9779862)
357,8579666137,POINT (-76.49588319999999 38.9897862)
